charlie_pattern,delta_set,delta_entity,delta_mod1,delta_mod2,delta_sidc,label
"E*IPDL----*****",40,150112,00,00,10034000001501120000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT SPONTANEOUSLY COMBUSTIBLE MATERIAL"
"E*IPDM----*****",40,150113,00,00,10034000001501130000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT TOXIC GAS"
"E*IPDN----*****",40,150114,00,00,10034000001501140000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT TOXIC INFECTIOUS MATERIAL"
"E*IPDO----*****",40,150115,00,00,10034000001501150000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT UNEXPLODED ORDNANCE"
"E*IPEA----*****",40,160100,16,00,10034000001601001600,"TRANSPORTATION INCIDENT AIR ACCIDENT MOD"
"O*OPHA----*****",40,160100,03,00,10034000001601000300,"TRANSPORTATION INCIDENT AIR HIJACKING MOD"
"E*IPE-----*****",40,160100,17,00,10034000001601001700,"TRANSPORTATION INCIDENT AIR INCIDENT MOD"
"E*IPFA----*****",40,160200,16,00,10034000001602001600,"TRANSPORTATION INCIDENT MARINE ACCIDENT MOD"
"O*OPHV----*****",40,160200,03,00,10034000001602000300,"TRANSPORTATION INCIDENT MARINE HIJACKING MOD"
"E*IPF-----*****",40,160200,17,00,10034000001602001700,"TRANSPORTATION INCIDENT MARINE INCIDENT MOD"
"E*IPGA----*****",40,160300,16,00,10034000001603001600,"TRANSPORTATION INCIDENT RAIL ACCIDENT MOD"
"E*IPGB----*****",40,160300,03,00,10034000001603000300,"TRANSPORTATION INCIDENT RAIL HIJACKING MOD"
"E*IPG-----*****",40,160300,17,00,10034000001603001700,"TRANSPORTATION INCIDENT RAIL INCIDENT MOD"
"E*IPHA----*****",40,160400,16,00,10034000001604001600,"TRANSPORTATION INCIDENT VEHICLE ACCIDENT MOD"
"O*OPHT----*****",40,160400,03,00,10034000001604000300,"TRANSPORTATION INCIDENT VEHICLE HIJACKING MOD"
"E*IPH-----*****",40,160400,17,00,10034000001604001700,"TRANSPORTATION INCIDENT VEHICLE INCIDENT MOD"
"E*NPAA----*****",40,170101,00,00,10034000001701010000,"NATURAL EVENT GEOLOGIC AFTERSHOCK"
"E*NPAB----*****",40,170102,00,00,10034000001701020000,"NATURAL EVENT GEOLOGIC AVALANCHE"
"E*NPAC----*****",40,170103,00,00,10034000001701030000,"NATURAL EVENT GEOLOGIC EARTHQUAKE EPICENTER"
"E*NPAD----*****",40,170104,00,00,10034000001701040000,"NATURAL EVENT GEOLOGIC LANDSLIDE"
