charlie_pattern,delta_set,delta_entity,delta_mod1,delta_mod2,delta_sidc,label
"S*GPEVEE--*****",15,130800,00,00,10031500001308000000,"ENGINEER VEHICLES EQUIPMENT EARTHMOVER"
"S*GPEVEA--*****",15,130900,00,00,10031500001309000000,"ENGINEER VEHICLES EQUIPMENT MINE CLEARING EQUIPMENT"
"S*GPEVEAT-*****",15,130901,00,00,10031500001309010000,"ENGINEER VEHICLES EQUIPMENT MINE CLEARING EQUIPMENT MINE CLEARING EQUIPMENT TRAILER"
"S*GPEVEAA-*****",15,130902,00,00,10031500001309020000,"ENGINEER VEHICLES EQUIPMENT MINE CLEARING EQUIPMENT MINE CLEARING EQUIPMENT TANK CHASSIS"
"S*GPEVEMV-*****",15,131002,00,00,10031500001310020000,"ENGINEER VEHICLES EQUIPMENT MINE LAYING EQUIPMENT ARMORED CARRIER VOLCANO"
"S*GPEVEML-*****",15,131003,00,00,10031500001310030000,"ENGINEER VEHICLES EQUIPMENT MINE LAYING EQUIPMENT TRUCK VOLCANO"
"S*GPEVED--*****",15,131100,00,00,10031500001311000000,"ENGINEER VEHICLES EQUIPMENT DOZER"
"S*GPEVEDA-*****",15,131101,00,00,10031500001311010000,"ENGINEER VEHICLES EQUIPMENT DOZER DOZER ARMORED"
"S*GPEVES--*****",15,131200,00,00,10031500001312000000,"ENGINEER VEHICLES EQUIPMENT ARMORED ASSAULT"
"S*GPEVER--*****",15,131300,00,00,10031500001313000000,"ENGINEER VEHICLES EQUIPMENT ARMORED ENGINEER RECON VEHICLE AERV"
"S*GPEVEH--*****",15,131400,00,00,10031500001314000000,"ENGINEER VEHICLES EQUIPMENT BACKHOE"
"S*GPEVEC--*****",15,131500,00,00,10031500001315000000,"ENGINEER VEHICLES EQUIPMENT CONSTRUCTION VEHICLE"
"S*GPEVEF--*****",15,131600,00,00,10031500001316000000,"ENGINEER VEHICLES EQUIPMENT FERRY TRANSPORTER"
"S*GPEVU---*****",15,140100,00,00,10031500001401000000,"UTILITY VEHICLES UTILITY VEHICLE"
"S*GPEVUA--*****",15,140300,00,00,10031500001403000000,"UTILITY VEHICLES UTILITY VEHICLE MEDEVAC"
"S*GPEVUB--*****",15,140500,00,00,10031500001405000000,"UTILITY VEHICLES BUS"
"S*GPEVUS--*****",15,140600,00,00,10031500001406000000,"UTILITY VEHICLES SEMI TRAILER AND TRUCK"
"S*GPEVUSL-*****",15,140601,00,00,10031500001406010000,"UTILITY VEHICLES SEMI TRAILER AND TRUCK SEMI LIGHT"
"S*GPEVUSM-*****",15,140602,00,00,10031500001406020000,"UTILITY VEHICLES SEMI TRAILER AND TRUCK SEMI MEDIUM"
"S*GPEVUSH-*****",15,140603,00,00,10031500001406030000,"UTILITY VEHICLES SEMI TRAILER AND TRUCK SEMI HEAVY"
"S*GPEVUL--*****",15,140700,00,00,10031500001407000000,"UTILITY VEHICLES LIMITED CROSS COUNTRY TRUCK"
"S*GPEVUX--*****",15,140800,00,00,10031500001408000000,"UTILITY VEHICLES CROSS COUNTRY TRUCK"
"S*GPEVUR--*****",15,141100,00,00,10031500001411000000,"UTILITY VEHICLES AMPHIBIOUS UTILITY WHEELED VEHICLE"
"S*GPEVUT--*****",15,141200,00,00,10031500001412000000,"UTILITY VEHICLES TOW TRUCK"
"S*GPEVUTL-*****",15,141201,00,00,10031500001412010000,"UTILITY VEHICLES TOW TRUCK TOW TRUCK LIGHT"
"S*GPEVUTH-*****",15,141202,00,00,10031500001412020000,"UTILITY VEHICLES TOW TRUCK TOW TRUCK HEAVY"
"S*GPEVT---*****",15,150100,00,00,10031500001501000000,"TRAIN LOCOMOTIVE"
"S*GPEVCA--*****",15,160100,00,00,10031500001601000000,"CIVILIAN VEHICLE AUTOMOBILE"
"S*GPEVCAL-*****",15,160101,00,00,10031500001601010000,"CIVILIAN VEHICLE AUTOMOBILE COMPACT AUTO"
"S*GPEVCAM-*****",15,160102,00,00,10031500001601020000,"CIVILIAN VEHICLE AUTOMOBILE MIDSIZE AUTO"
"S*GPEVCAH-*****",15,160103,00,00,10031500001601030000,"CIVILIAN VEHICLE AUTOMOBILE SEDAN AUTO"
"S*GPEVCO--*****",15,160200,00,00,10031500001602000000,"CIVILIAN VEHICLE OPEN BED TRUCK"
"S*GPEVCOL-*****",15,160201,00,00,10031500001602010000,"CIVILIAN VEHICLE OPEN BED TRUCK PICKUP TRUCK"
"S*GPEVCOM-*****",15,160202,00,00,10031500001602020000,"CIVILIAN VEHICLE OPEN BED TRUCK SMALL PICKUP TRUCK"
"S*GPEVCOH-*****",15,160203,00,00,10031500001602030000,"CIVILIAN VEHICLE OPEN BED TRUCK LARGE PICKUP TRUCK"
"S*GPEVCM--*****",15,160300,00,00,10031500001603000000,"CIVILIAN VEHICLE MULTIPLE PASSENGER VEHICLE"
"S*GPEVCML-*****",15,160301,00,00,10031500001603010000,"CIVILIAN VEHICLE MULTIPLE PASSENGER VEHICLE VAN"
"S*GPEVCMM-*****",15,160302,00,00,10031500001603020000,"CIVILIAN VEHICLE MULTIPLE PASSENGER VEHICLE SMALL BUS"
"S*GPEVCMH-*****",15,160303,00,00,10031500001603030000,"CIVILIAN VEHICLE MULTIPLE PASSENGER VEHICLE LARGE BUS"
"S*GPEVCU--*****",15,160400,00,00,10031500001604000000,"CIVILIAN VEHICLE AUTO UTILITY VEHICLE"
"S*GPEVCUL-*****",15,160401,00,00,10031500001604010000,"CIVILIAN VEHICLE AUTO UTILITY VEHICLE SPORT UTILITY VEHICLE SUV"
"S*GPEVCUM-*****",15,160402,00,00,10031500001604020000,"CIVILIAN VEHICLE AUTO UTILITY VEHICLE SMALL BOX TRUCK"
"S*GPEVCUH-*****",15,160403,00,00,10031500001604030000,"CIVILIAN VEHICLE AUTO UTILITY VEHICLE LARGE BOX TRUCK"
"S*GPEVCJ--*****",15,160500,00,00,10031500001605000000,"CIVILIAN VEHICLE JEEP TYPE VEHICLE"
"S*GPEVCJL-*****",15,160501,00,00,10031500001605010000,"CIVILIAN VEHICLE JEEP TYPE VEHICLE JEEP LIGHT"
"S*GPEVCJM-*****",15,160502,00,00,10031500001605020000,"CIVILIAN VEHICLE JEEP TYPE VEHICLE JEEP MEDIUM"
"S*GPEVCJH-*****",15,160503,00,00,10031500001605030000,"CIVILIAN VEHICLE JEEP TYPE VEHICLE JEEP HEAVY"
"S*GPEVCT--*****",15,160600,00,00,10031500001606000000,"CIVILIAN VEHICLE TRACTOR TRAILER BOX"
"S*GPEVCTL-*****",15,160601,00,00,10031500001606010000,"CIVILIAN VEHICLE TRACTOR TRAILER BOX TRACTOR TRAILER BOX LIGHT"
"S*GPEVCTM-*****",15,160602,00,00,10031500001606020000,"CIVILIAN VEHICLE TRACTOR TRAILER BOX TRACTOR TRAILER BOX MEDIUM"
"S*GPEVCTH-*****",15,160603,00,00,10031500001606030000,"CIVILIAN VEHICLE TRACTOR TRAILER BOX TRACTOR TRAILER BOX HEAVY"
"S*GPEVCF--*****",15,160700,00,00,10031500001607000000,"CIVILIAN VEHICLE TRACTOR TRAILER FLATBED"
"S*GPEVCFL-*****",15,160701,00,00,10031500001607010000,"CIVILIAN VEHICLE TRACTOR TRAILER FLATBED TRACTOR TRAILER BED LIGHT"
"S*GPEVCFM-*****",15,160702,00,00,10031500001607020000,"CIVILIAN VEHICLE TRACTOR TRAILER FLATBED TRACTOR TRAILER BED MEDIUM"
"S*GPEVCFH-*****",15,160703,00,00,10031500001607030000,"CIVILIAN VEHICLE TRACTOR TRAILER FLATBED TRACTOR TRAILER BED HEAVY"
"O*IPI-----*****",15,160800,00,00,10031500001608000000,"CIVILIAN VEHICLE KNOWN INSURGENT VEHICLE"
"O*IPD-----*****",15,160900,00,00,10031500001609000000,"CIVILIAN VEHICLE DRUG VEHICLE"
"E*OPDB----*****",15,170000,00,00,10031500001700000000,"LAW ENFORCEMENT"
"E*OPDDB---*****",15,170100,00,00,10031500001701000000,"LAW ENFORCEMENT BUREAU ALCOHOL TOBACCO FIREARMS EXPLOSIVES ATF"
"E*OPDEB---*****",15,170200,00,00,10031500001702000000,"LAW ENFORCEMENT BORDER PATROL"
"E*OPDFB---*****",15,170300,00,00,10031500001703000000,"LAW ENFORCEMENT CUSTOMS SERVICE"
"E*OPDGB---*****",15,170400,00,00,10031500001704000000,"LAW ENFORCEMENT DRUG ENFORCEMENT ADMINISTRATION DEA"
"EFOPDHB---*****",15,170500,00,00,10031500001705000000,"LAW ENFORCEMENT DEPARTMENT OF JUSTICE DOJ"
"EFOPDIB---*****",15,170600,00,00,10031500001706000000,"LAW ENFORCEMENT FEDERAL BUREAU INVESTIGATION FBI"
"EFOPDJB---*****",15,170700,00,00,10031500001707000000,"LAW ENFORCEMENT POLICE"
"EFOPDLB---*****",15,170800,00,00,10031500001708000000,"LAW ENFORCEMENT UNITED STATES SECRET SERVICE USSS"
"EFOPDMB---*****",15,170900,00,00,10031500001709000000,"LAW ENFORCEMENT TRANSPORTATION SECURITY ADMINISTRATION TSA"
"EFOPDOB---*****",15,171100,00,00,10031500001711000000,"LAW ENFORCEMENT US MARSHALS SERVICE"
"S*GPEVM---*****",15,180000,00,00,10031500001800000000,"PACK ANIMALS"
"S*GPEVS---*****",15,190000,00,00,10031500001900000000,"MISSILE SUPPORT"
"S*GPEVST--*****",15,190100,00,00,10031500001901000000,"MISSILE SUPPORT MISSILE TRANSLOADER"
"S*GPEVSR--*****",15,190200,00,00,10031500001902000000,"MISSILE SUPPORT MISSILE TRANSPORTER"
"S*GPEVSC--*****",15,190300,00,00,10031500001903000000,"MISSILE SUPPORT MISSILE CRANE LOADING DEVICE"
"S*GPEVSP--*****",15,190400,00,00,10031500001904000000,"MISSILE SUPPORT MISSILE PROPELLANT TRANSPORTER"
"S*GPEVSW--*****",15,190500,00,00,10031500001905000000,"MISSILE SUPPORT MISSILE WARHEAD TRANSPORTER"
"S*GPEXN---*****",15,200400,00,00,10031500002004000000,"OTHER EQUIPMENT CBRN EQUIPMENT"
"S*GPEXL---*****",15,201000,00,00,10031500002010000000,"OTHER EQUIPMENT LASER"
"E*OPAB----*****",15,201500,00,00,10031500002015000000,"OTHER EQUIPMENT EMERGENCY MEDICAL OPERATION"
"E*OPAF----*****",15,201501,00,00,10031500002015010000,"OTHER EQUIPMENT EMERGENCY MEDICAL OPERATION MEDICAL EVACUATION HELICOPTER"
"S*GPEXM---*****",15,210100,00,00,10031500002101000000,"LAND MINES LAND MINE"
"S*GPEXMC--*****",15,210200,00,00,10031500002102000000,"LAND MINES ANTIPERSONNEL LAND MINE APL"
"S*GPEXI---*****",15,210400,00,00,10031500002104000000,"LAND MINES IMPROVISED EXPLOSIVES DEVICE IED"
"S*GPEXML--*****",15,210500,00,00,10031500002105000000,"LAND MINES LESS THAN LETHAL"
"S*GPES----*****",15,220100,00,00,10031500002201000000,"SENSORS SENSOR"
"E*OPEA----*****",15,220100,01,00,10031500002201000100,"SENSORS SENSOR BIOLOGICAL MOD"
"E*OPEB----*****",15,220100,02,00,10031500002201000200,"SENSORS SENSOR CHEMICAL MOD"
"E*OPEC----*****",15,220100,04,00,10031500002201000400,"SENSORS SENSOR INTRUSION MOD"
"E*OPED----*****",15,220100,05,00,10031500002201000500,"SENSORS SENSOR NUCLEAR MOD"
"E*OPEE----*****",15,220100,06,00,10031500002201000600,"SENSORS SENSOR RADIOLOGICAL MOD"
"S*GPESE---*****",15,220200,00,00,10031500002202000000,"SENSORS SENSOR EMPLACED"
"S*GPESR---*****",15,220300,00,00,10031500002203000000,"SENSORS RADAR"
"E*OPBB----*****",15,230000,00,00,10031500002300000000,"EMERGENCY OPERATION"
"E*OPAE----*****",15,230100,00,00,10031500002301000000,"EMERGENCY OPERATION AMBULANCE"
"E*OPCB----*****",15,230200,00,00,10031500002302000000,"EMERGENCY OPERATION FIRE FIGHTING FIRE PROTECTION"
"S*GPE-----*****",15,000000,00,00,10031500000000000000,"EQUIPMENT"
"S*GPEVEM-------",15,131000,00,00,10031500001310000000,"ENGINEER VEHICLES EQUIPMENT MINE LAYING EQUIPMENT"
"S*GPIMA---H****",20,110100,00,00,10032000001101000000,"INSTALLATION AIRCRAFT PRODUCTION ASSEMBLY"
"S*GPIME---H****",20,110200,00,00,10032000001102000000,"INSTALLATION AMMUNITION EXPLOSIVES ASSEMBLY"
"S*GPIMG---H****",20,110400,00,00,10032000001104000000,"INSTALLATION ARMAMENT PRODUCTION"
"O*LPB-----*****",20,110500,00,00,10032000001105000000,"INSTALLATION BLACK LIST LOCATION"
"S*GPIRN---H****",20,110600,00,00,10032000001106000000,"INSTALLATION CBRN"
"S*GPIRNB--H****",20,110600,01,00,10032000001106000100,"INSTALLATION CBRN BIOLOGICAL 1 MOD"
"S*GPIRNC--H****",20,110600,02,00,10032000001106000200,"INSTALLATION CBRN CHEMICAL 1 MOD"
"S*GPIRNN--H****",20,110600,03,00,10032000001106000300,"INSTALLATION CBRN NUCLEAR 1 MOD"
"S*GPIPD---H****",20,110600,04,00,10032000001106000400,"INSTALLATION CBRN RADIOLOGICAL 1 MOD"
"S*GPIMC---H****",20,110600,00,01,10032000001106000001,"INSTALLATION CBRN BIOLOGICAL 2 MOD"
"S*GPIMC---H****",20,110600,00,02,10032000001106000002,"INSTALLATION CBRN CHEMICAL 2 MOD"
"S*GPIMN---H****",20,110700,00,00,10032000001107000000,"INSTALLATION ENGINEERING EQUIPMENT PRODUCTION"
"S*GPIMNB--H****",20,110701,00,00,10032000001107010000,"INSTALLATION ENGINEERING EQUIPMENT PRODUCTION BRIDGE"
"S*GPIE----H****",20,110800,00,00,10032000001108000000,"INSTALLATION EQUIPMENT MANUFACTURE"
"S*GPIG----H****",20,110900,00,00,10032000001109000000,"INSTALLATION GOVERNMENT LEADERSHIP"
"O*LPG-----*****",20,111000,00,00,10032000001110000000,"INSTALLATION GRAY LIST LOCATION"
"O*LPM-----*****",20,111100,00,00,10032000001111000000,"INSTALLATION MASS GRAVE SITE"
"S*GPIRM---H****",20,111300,00,00,10032000001113000000,"INSTALLATION MINE"
"S*GPIMM---H****",20,111400,00,00,10032000001114000000,"INSTALLATION MISSILE SPACE SYSTEM PRODUCTION"
"S*GPIMF---H****",20,111500,00,00,10032000001115000000,"INSTALLATION NUCLEAR DEFENSE"
"S*GPIMFA--H****",20,111500,00,05,10032000001115000005,"INSTALLATION NUCLEAR DEFENSE ATOMIC ENERGY REACTOR MOD"
"S*GPIMFP--H****",20,111500,00,06,10032000001115000006,"INSTALLATION NUCLEAR DEFENSE NUCLEAR MATERIAL PRODUCTION MOD"
"S*GPIMFS--H****",20,111500,00,07,10032000001115000007,"INSTALLATION NUCLEAR DEFENSE NUCLEAR MATERIAL STORAGE MOD"
"S*GPIMFPW-H****",20,111500,00,08,10032000001115000008,"INSTALLATION NUCLEAR DEFENSE WEAPONS GRADE MOD"
"O*IPS-----*****",20,111700,00,00,10032000001117000000,"INSTALLATION SAFE HOUSE"
"O*LPW-----*****",20,111800,00,00,10032000001118000000,"INSTALLATION WHITE LIST LOCATION"
"E*OPDC----H****",20,112100,00,00,10032000001121000000,"INSTALLATION LAW ENFORCEMENT"
"E*OPDDC---H****",20,112101,00,00,10032000001121010000,"INSTALLATION LAW ENFORCEMENT BUREAU ATF"
"E*OPDEC---H****",20,112102,00,00,10032000001121020000,"INSTALLATION LAW ENFORCEMENT BORDER PATROL"
"E*OPDFC---H****",20,112103,00,00,10032000001121030000,"INSTALLATION LAW ENFORCEMENT CUSTOMS SERVICE"
"EFOPDGC---H****",20,112104,00,00,10032000001121040000,"INSTALLATION LAW ENFORCEMENT DRUG ENFORCEMENT ADMINISTRATION DEA"
"EFOPDHC---H****",20,112105,00,00,10032000001121050000,"INSTALLATION LAW ENFORCEMENT DEPARTMENT JUSTICE DOJ"
"EFOPDIC---H****",20,112106,00,00,10032000001121060000,"INSTALLATION LAW ENFORCEMENT FEDERAL BUREAU INVESTIGATION FBI"
"E*OPDJC---H****",20,112107,00,00,10032000001121070000,"INSTALLATION LAW ENFORCEMENT POLICE"
"EFOPDLC---H****",20,112109,00,00,10032000001121090000,"INSTALLATION LAW ENFORCEMENT UNITED STATES SECRET SERVICE USSS"
"EFOPDMC---H****",20,112110,00,00,10032000001121100000,"INSTALLATION LAW ENFORCEMENT TRANSPORTATION SECURITY ADMINISTRATION TSA"
"E*OPDNC---H****",20,112111,00,00,10032000001121110000,"INSTALLATION LAW ENFORCEMENT COAST GUARD"
"E*OPDOC---H****",20,112112,00,00,10032000001121120000,"INSTALLATION LAW ENFORCEMENT US MARSHALS SERVICE"
"E*OPBC----H****",20,112200,00,00,10032000001122000000,"INSTALLATION EMERGENCY OPERATION"
"E*OPCE----H****",20,112201,00,00,10032000001122010000,"INSTALLATION EMERGENCY OPERATION FIRE STATION"
"E*OPAC----H****",20,112202,00,00,10032000001122020000,"INSTALLATION EMERGENCY OPERATION EMERGENCY MEDICAL OPERATION"
"E*FPA-----H****",20,120100,00,00,10032000001201000000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE"
"E*FPAA----H****",20,120101,00,00,10032000001201010000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE AGRICULTURE LABORATORY"
"E*FPAB----H****",20,120102,00,00,10032000001201020000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE ANIMAL FEEDLOT"
"E*FPAC----H****",20,120103,00,00,10032000001201030000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE COMMERCIAL FOOD DISTRIBUTION"
"E*FPAD----H****",20,120104,00,00,10032000001201040000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE FARM RANCH"
"E*OPBL----H****",20,120105,00,00,10032000001201050000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE FOOD DISTRIBUTION"
"E*FPAE----H****",20,120106,00,00,10032000001201060000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE FOOD PRODUCTION CENTER"
"E*FPAF----H****",20,120107,00,00,10032000001201070000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE FOOD RETAIL"
"E*FPAG----H****",20,120108,00,00,10032000001201080000,"INFRASTRUCTURE AGRICULTURE FOOD INFRASTRUCTURE GRAIN STORAGE"
"E*FPB-----H****",20,120200,00,00,10032000001202000000,"INFRASTRUCTURE BANKING INFRASTRUCTURE"
"E*FPBA----*****",20,120201,00,00,10032000001202010000,"INFRASTRUCTURE BANKING INFRASTRUCTURE ATM"
"E*FPBB----H****",20,120202,00,00,10032000001202020000,"INFRASTRUCTURE BANKING INFRASTRUCTURE BANK"
"E*FPBC----H****",20,120203,00,00,10032000001202030000,"INFRASTRUCTURE BANKING INFRASTRUCTURE BULLION STORAGE"
"E*FPBD----H****",20,120205,00,00,10032000001202050000,"INFRASTRUCTURE BANKING INFRASTRUCTURE FEDERAL RESERVE BANK"
"E*FPBE----H****",20,120206,00,00,10032000001202060000,"INFRASTRUCTURE BANKING INFRASTRUCTURE FINANCIAL EXCHANGE"
"E*FPBF----H****",20,120207,00,00,10032000001202070000,"INFRASTRUCTURE BANKING INFRASTRUCTURE FINANCIAL SERVICES OTHER"
"E*FPC-----H****",20,120300,00,00,10032000001203000000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE"
"E*FPCA----H****",20,120301,00,00,10032000001203010000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE CHEMICAL PLANT"
"E*FPCB----H****",20,120302,00,00,10032000001203020000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE FIREARMS MANUFACTURER"
"E*FPCC----H****",20,120303,00,00,10032000001203030000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE FIREARMS RETAILER"
"E*FPCD----H****",20,120304,00,00,10032000001203040000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE HAZARDOUS MATERIAL PRODUCTION"
"E*FPCE----H****",20,120305,00,00,10032000001203050000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE HAZARDOUS MATERIAL STORAGE"
"E*FPCF----H****",20,120306,00,00,10032000001203060000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE INDUSTRIAL SITE"
"E*FPCG----H****",20,120307,00,00,10032000001203070000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE LANDFILL"
"E*FPCH----H****",20,120308,00,00,10032000001203080000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE PHARMACEUTICAL MANUFACTURER"
"E*FPCI----H****",20,120309,00,00,10032000001203090000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE CONTAMINATED HAZARDOUS WASTE SITE"
"E*FPCJ----H****",20,120310,00,00,10032000001203100000,"INFRASTRUCTURE COMMERCIAL INFRASTRUCTURE TOXIC RELEASE INVENTORY"
"E*FPD-----H****",20,120400,00,00,10032000001204000000,"INFRASTRUCTURE EDUCATIONAL FACILITIES INFRASTRUCTURE"
"E*FPDA----H****",20,120401,00,00,10032000001204010000,"INFRASTRUCTURE EDUCATIONAL FACILITIES INFRASTRUCTURE COLLEGE UNIVERSITY"
"E*FPDB----H****",20,120402,00,00,10032000001204020000,"INFRASTRUCTURE EDUCATIONAL FACILITIES INFRASTRUCTURE SCHOOL"
"S*GPIUE---H****",20,120500,00,00,10032000001205000000,"INFRASTRUCTURE ENERGY FACILITY INFRASTRUCTURE"
"S*GPIUEN--H****",20,120501,03,00,10032000001205010300,"INFRASTRUCTURE ENERGY FACILITY INFRASTRUCTURE ELECTRIC POWER NUCLEAR 1 MOD"
"E*FPEA----H****",20,120502,00,00,10032000001205020000,"INFRASTRUCTURE ENERGY FACILITY INFRASTRUCTURE GENERATION STATION"
"E*FPEB----H****",20,120503,00,00,10032000001205030000,"INFRASTRUCTURE ENERGY FACILITY INFRASTRUCTURE NATURAL GAS FACILITY"
"S*GPIRP---H****",20,120505,00,00,10032000001205050000,"INFRASTRUCTURE ENERGY FACILITY INFRASTRUCTURE PETROLEUM GAS OIL"
"E*FPEE----H****",20,120506,00,00,10032000001205060000,"INFRASTRUCTURE ENERGY FACILITY INFRASTRUCTURE PROPANE FACILITY"
"E*FPF-----H****",20,120600,00,00,10032000001206000000,"INFRASTRUCTURE GOVERNMENT SITE INFRASTRUCTURE"
"S*GPIX----H****",20,120701,00,00,10032000001207010000,"INFRASTRUCTURE MEDICAL INFRASTRUCTURE MEDICAL"
"S*GPIXH---H****",20,120702,00,00,10032000001207020000,"INFRASTRUCTURE MEDICAL INFRASTRUCTURE MTF HOSPITAL"
"E*FPG-----H****",20,120800,00,00,10032000001208000000,"INFRASTRUCTURE MILITARY INFRASTRUCTURE"
"E*FPGA----H****",20,120801,00,00,10032000001208010000,"INFRASTRUCTURE MILITARY INFRASTRUCTURE MILITARY ARMORY"
"S*GPIB----H****",20,120802,00,00,10032000001208020000,"INFRASTRUCTURE MILITARY INFRASTRUCTURE MILITARY BASE"
"E*FPH-----H****",20,120900,00,00,10032000001209000000,"INFRASTRUCTURE POSTAL SERVICES INFRASTRUCTURE"
"E*FPHA----H****",20,120901,00,00,10032000001209010000,"INFRASTRUCTURE POSTAL SERVICES INFRASTRUCTURE POSTAL DISTRIBUTION CENTER"
"E*FPHB----H****",20,120902,00,00,10032000001209020000,"INFRASTRUCTURE POSTAL SERVICES INFRASTRUCTURE POST OFFICE"
"E*FPI-----H****",20,121000,00,00,10032000001210000000,"INFRASTRUCTURE PUBLIC VENUES INFRASTRUCTURE"
"E*FPIA----H****",20,121001,00,00,10032000001210010000,"INFRASTRUCTURE PUBLIC VENUES INFRASTRUCTURE ENCLOSED FACILITY"
"E*FPIB----H****",20,121002,00,00,10032000001210020000,"INFRASTRUCTURE PUBLIC VENUES INFRASTRUCTURE OPEN FACILITY"
"E*FPIC----H****",20,121003,00,00,10032000001210030000,"INFRASTRUCTURE PUBLIC VENUES INFRASTRUCTURE RECREATIONAL AREA"
"E*FPID----H****",20,121004,00,00,10032000001210040000,"INFRASTRUCTURE PUBLIC VENUES INFRASTRUCTURE RELIGIOUS INSTITUTION"
"E*FPJ-----H****",20,121100,00,00,10032000001211000000,"INFRASTRUCTURE SPECIAL NEEDS INFRASTRUCTURE"
"E*FPJA----H****",20,121101,00,00,10032000001211010000,"INFRASTRUCTURE SPECIAL NEEDS INFRASTRUCTURE ADULT DAY CARE"
"E*FPJB----H****",20,121102,00,00,10032000001211020000,"INFRASTRUCTURE SPECIAL NEEDS INFRASTRUCTURE CHILD DAY CARE"
"E*FPJC----H****",20,121103,00,00,10032000001211030000,"INFRASTRUCTURE SPECIAL NEEDS INFRASTRUCTURE ELDER CARE"
"E*FPK-----H****",20,121200,00,00,10032000001212000000,"INFRASTRUCTURE TELECOMMUNICATIONS INFRASTRUCTURE"
"E*FPKB----H****",20,121203,00,00,10032000001212030000,"INFRASTRUCTURE TELECOMMUNICATIONS INFRASTRUCTURE TELECOMMUNICATIONS TOWER"
"S*GPIT----H****",20,121300,00,00,10032000001213000000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE"
"S*GPIBA---H****",20,121301,00,00,10032000001213010000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE AIRPORT AIR BASE"
"E*FPLA----H****",20,121302,00,00,10032000001213020000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE ATC FACILITY"
"E*FPLD----H****",20,121303,00,00,10032000001213030000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE BUS STATION"
"E*FPLE----H****",20,121304,00,00,10032000001213040000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE FERRY TERMINAL"
"E*FPLF----H****",20,121305,00,00,10032000001213050000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE HELICOPTER LANDING SITE"
"E*FPLH----H****",20,121306,00,00,10032000001213060000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE MAINTENANCE FACILITY"
"E*FPLJ----H****",20,121307,00,00,10032000001213070000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE RAILHEAD RAILROAD STATION"
"E*FPLK----H****",20,121308,00,00,10032000001213080000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE REST STOP"
"S*GPIBN---H****",20,121309,00,00,10032000001213090000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE SEA PORT NAVAL BASE"
"S*GPIMS---H****",20,121310,00,00,10032000001213100000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE SHIP YARD"
"E*FPLM----H****",20,121311,00,00,10032000001213110000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE TOLL FACILITY"
"E*FPLO----H****",20,121312,00,00,10032000001213120000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE TRAFFIC INSPECTION FACILITY"
"E*FPLP----H****",20,121313,00,00,10032000001213130000,"INFRASTRUCTURE TRANSPORTATION INFRASTRUCTURE TUNNEL"
"E*FPMA----*****",20,121401,00,00,10032000001214010000,"INFRASTRUCTURE WATER SUPPLY INFRASTRUCTURE CONTROL VALVE"
"E*FPMB----H****",20,121402,00,00,10032000001214020000,"INFRASTRUCTURE WATER SUPPLY INFRASTRUCTURE DAM"
"E*FPMC----*****",20,121403,00,00,10032000001214030000,"INFRASTRUCTURE WATER SUPPLY INFRASTRUCTURE DISCHARGE OUTFALL"
"E*FPMD----H****",20,121404,00,00,10032000001214040000,"INFRASTRUCTURE WATER SUPPLY INFRASTRUCTURE GROUND WATER WELL"
"E*FPME----H****",20,121405,00,00,10032000001214050000,"INFRASTRUCTURE WATER SUPPLY INFRASTRUCTURE PUMPING STATION"
"E*FPMF----H****",20,121406,00,00,10032000001214060000,"INFRASTRUCTURE WATER SUPPLY INFRASTRUCTURE RESERVOIR"
