family,code,label
delta,45130300,"Icing / Mixed Icing"
delta,45130301,"Icing / Mixed Icing / Light"
delta,45130302,"Icing / Mixed Icing / Moderate"
delta,45130303,"Icing / Mixed Icing / Severe"
delta,45140000,"Winds"
delta,45140100,"Winds / Calm Winds"
delta,45140200,"Winds / Wind Plot"
delta,45140300,"Winds / Jet Stream"
delta,45140400,"Winds / Stream Line"
delta,45150000,"Cloud Cover"
delta,45150100,"Cloud Cover / Cloud Coverage Symbols"
delta,45150101,"Cloud Cover / Cloud Coverage Symbols / Clear Sky"
delta,45150102,"Cloud Cover / Cloud Coverage Symbols / Few Coverage"
delta,45150103,"Cloud Cover / Cloud Coverage Symbols / Scattered Coverage"
delta,45150104,"Cloud Cover / Cloud Coverage Symbols / Broken Coverage"
delta,45150105,"Cloud Cover / Cloud Coverage Symbols / Overcast Coverage"
delta,45150106,"Cloud Cover / Cloud Coverage Symbols / Sky Totally or Partially Obscured"
delta,45160000,"Weather Symbols"
delta,45160100,"Weather Symbols / Rain"
delta,45160101,"Weather Symbols / Rain / Intermittent Light"
delta,45160102,"Weather Symbols / Rain / Continuous Light"
delta,45160103,"Weather Symbols / Rain / Intermittent Moderate"
delta,45160104,"Weather Symbols / Rain / Intermittent Moderate/Continuous Moderate"
delta,45160105,"Weather Symbols / Rain / Intermittent Heavy"
delta,45160106,"Weather Symbols / Rain / Intermittent Heavy/Continuous Heavy"
delta,45160200,"Weather Symbols / Freezing Rain"
delta,45160201,"Weather Symbols / Freezing Rain / Light"
delta,45160202,"Weather Symbols / Freezing Rain / Moderate/Heavy"
delta,45160300,"Weather Symbols / Rain Showers"
delta,45160301,"Weather Symbols / Rain Showers / Light"
delta,45160302,"Weather Symbols / Rain Showers / Moderate/Heavy"
delta,45160303,"Weather Symbols / Rain Showers / Torrential"
delta,45160400,"Weather Symbols / Drizzle"
delta,45160401,"Weather Symbols / Drizzle / Intermittent Light"
delta,45160402,"Weather Symbols / Drizzle / Intermittent Light/Continuous Light"
delta,45160403,"Weather Symbols / Drizzle / Intermittent Moderate"
delta,45160404,"Weather Symbols / Drizzle / Intermittent Moderate/Continuous Moderate"
delta,45160405,"Weather Symbols / Drizzle / Intermittent Heavy"
delta,45160406,"Weather Symbols / Drizzle / Intermittent Heavy/Continuous Heavy"
delta,45160500,"Weather Symbols / Freezing Drizzle"
delta,45160501,"Weather Symbols / Freezing Drizzle / Light"
delta,45160502,"Weather Symbols / Freezing Drizzle / Moderate/Heavy"
delta,45160600,"Weather Symbols / Rain and Snow Mixed"
delta,45160601,"Weather Symbols / Rain and Snow Mixed / Rain or Drizzle and Snow - Light"
delta,45160602,"Weather Symbols / Rain and Snow Mixed / Rain or Drizzle and Snow - Moderate/Heavy"
delta,45160603,"Weather Symbols / Rain and Snow Mixed / Rain and Snow Showers - Light"
delta,45160604,"Weather Symbols / Rain and Snow Mixed / Rain and Snow Showers - Moderate/Heavy"
delta,45160700,"Weather Symbols / Snow"
delta,45160701,"Weather Symbols / Snow / Intermittent Light"
delta,45160702,"Weather Symbols / Snow / Intermittent Light/Continuous Light"
delta,45160703,"Weather Symbols / Snow / Intermittent Moderate"
delta,45160704,"Weather Symbols / Snow / Intermittent Moderate/Continuous Moderate"
delta,45160705,"Weather Symbols / Snow / Intermittent Heavy"
delta,45160706,"Weather Symbols / Snow / Intermittent Heavy/Continuous Heavy"
delta,45160707,"Weather Symbols / Snow / Blowing Snow - Light/Moderate"
delta,45160708,"Weather Symbols / Snow / Blowing Snow - Heavy"
delta,45160800,"Weather Symbols / Snow Grains"
delta,45160900,"Weather Symbols / Snow Showers"
delta,45160901,"Weather Symbols / Snow Showers / Light"
delta,45160902,"Weather Symbols / Snow Showers / Moderate/Heavy"
delta,45161000,"Weather Symbols / Hail"
delta,45161001,"Weather Symbols / Hail / Light not Associated with Thunder"
delta,45161002,"Weather Symbols / Hail / Moderate/Heavy not Associated with Thunder"
delta,45161100,"Weather Symbols / Ice Crystals (Diamond Dust)"
delta,45161200,"Weather Symbols / Ice Pellets (Sleet)"
